"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,-0.630702729060823,-1.86895637641889,1.10927648905613e-09,5.54638244528064e-08,4.43710595622451e-08,4273,"tags=42%, list=18%, signal=34%","GAS1/TAGLN/COL11A1/GJA1/VEGFA/SERPINH1/TGFBI/IGFBP3/LAMC1/CADM1/GLIPR1/CTHRC1/CAPG/MMP14/PMP22/QSOX1/LOXL2/SLIT2/NTM/MATN3/PLOD2/PLOD1/DAB2/COL12A1/FSTL1/ITGA5/ECM1/MATN2/ACTA2/SERPINE2/EFEMP2/COL1A2/IGFBP4/THBS1/THY1/COL7A1/PLAUR/FBLN5/MMP2/COL5A1/PDGFRB/LOXL1/COMP/TNC/COL8A2/COL6A2/MFAP5/SPOCK1/IL6/PCOLCE/VCAN/COL16A1/LRRC15/IL32/VCAM1/LUM/VEGFC/GREM1/TIMP3/THBS2/EDIL3/LAMC2/MGP/LOX/FAP/MMP3/CXCL6/FMOD/CXCL8/COL1A1/PDLIM4/FN1/MXRA5/BGN/NNMT/SFRP1/POSTN/FBLN2/SLIT3/MYL9/COL6A3/CXCL12/PRSS2"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",193,-0.536550887609142,-1.58686379305881,0.000252892814264828,0.0063223203566207,0.00505785628529656,4145,"tags=36%, list=17%, signal=30%","GNA15/TNFSF9/NOD2/BEST1/ITGB8/CCL24/PIK3R5/GPC3/MMP14/TNFSF15/CD55/OSMR/CD82/RNF144B/APLNR/ITGA5/IL18/IL1B/RGS1/PTAFR/PDE4B/CSF1/RASGRP1/P2RX7/PTGER4/TNFSF10/RGS16/CCL2/LCP2/MEP1A/LCK/PLAUR/BDKRB1/OLR1/TACR1/F3/GPR183/CSF3/IL18RAP/TNFRSF9/IL7R/IL6/MARCO/EBI3/ICAM4/CCL20/CYBB/PTGIR/CCR7/FPR1/CCRL2/TLR2/CCL7/BST2/ICAM1/NPFFR2/PTGER2/TNFRSF1B/IL10RA/TNFAIP6/CMKLR1/CXCL6/CXCL8/CCL5/OPRK1/IFITM1/KCNA3/OSM/ROS1"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",192,-0.519886400597942,-1.5363662725709,0.000451889261131085,0.0071922756167225,0.005753820493378,5864,"tags=37%, list=24%, signal=28%","ACTN2/PLSCR1/CEBPB/ITIH1/LGALS3/CASP10/PRSS36/KCNIP2/APOBEC3F/APOC1/PHEX/TIMP1/LGMN/GCA/IRF7/PIM1/SERPINC1/CD46/CTSS/GATA3/S100A12/GZMA/C1QA/CTSC/DPP4/LAMP2/TIMP2/HNF4A/C2/PIK3R5/C9/MMP14/ZFPM2/CA2/CP/CD55/CSRP1/SERPINA1/HPCAL4/CTSB/APOBEC3G/RASGRP1/LCP2/LCK/PLAUR/OLR1/CDA/F3/TMPRSS6/MT3/IL6/MMP12/PRSS3/DOCK10/APOA4/C3/CDH13/MMP13/PLA2G7/SERPING1/F10/GZMB/CFH/CCL5/FN1/GNGT2/PCSK9/CFB/KYNU/PIK3CG/MMP8/SERPINB2"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",182,-0.518508636997437,-1.52623071154272,0.0005753820493378,0.0071922756167225,0.005753820493378,5780,"tags=38%, list=24%, signal=29%","INHBA/HLA-E/B2M/CCR1/CD8A/TIMP1/TLR1/IRF7/CTSS/NCF4/CCR2/IL10/SIT1/CCR5/FCGR2B/GZMA/CXCL13/CD3D/HDAC9/CD1D/BCL3/GCNT1/C2/CAPG/SOCS1/IL11/IL2RG/ITK/TGFB2/IL18/IL1B/FASLG/CXCR3/CSF1/TNF/SPI1/ZAP70/FYB1/CCL2/THY1/LCP2/PTPRC/IL13/LCK/HLA-DQA1/CD80/IL18RAP/GBP2/RPL3L/ITGAL/IL6/CD96/CCL11/STAT4/PRF1/CD86/FGR/CRTAM/TLR2/CCL7/CCL4/ICAM1/CD28/LY75/GZMB/PF4/ST8SIA4/GPR65/CCL5/CDKN2A"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",198,-0.508817684707704,-1.50640307623668,0.00119096918670628,0.0119096918670628,0.00952775349365025,4194,"tags=26%, list=17%, signal=22%","ICAM5/THBS3/TGFBI/RRAS/VWF/ARHGEF6/ITGB4/SLIT2/ADRA1B/CD274/JAM3/CDH3/NEGR1/CD34/SHROOM2/DSC1/CD209/CLDN14/ACTA1/CLDN4/CERCAM/FYB1/THY1/PTPRC/ACTC1/MMP2/KRT31/CLDN19/PECAM1/CADM3/ITGA10/VCAN/ACTN3/ICAM4/COL16A1/ADAMTS5/ALOX15B/CD86/VCAM1/CLDN5/CDH1/DMP1/ICAM1/LAMC2/COL9A1/SYK/ICAM2/LAYN/ACTG2/RAC2/MYL9/DSC3"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",194,-0.505875008380958,-1.49635946684484,0.00153714100919711,0.0128095084099759,0.0102476067279808,3712,"tags=29%, list=15%, signal=25%","PLAU/PPP1R15A/GLRX/CA2/SEMA3B/TSPAN7/HOXD11/PTPRR/VWA5A/IL2RG/IL1B/PRKG2/PPBP/SATB1/GYPC/LY96/PTGS2/SNAP25/IL33/RGS16/SERPINA3/PIGR/PLAUR/PLEK2/TMEM100/CD37/SCG5/PECAM1/IL7R/NR1H4/CCL20/ANXA10/IL1RL2/GPNMB/PDCD1LG2/IGF2/KCNN4/PCP4/LAPTM5/RBP4/TNFRSF1B/IL10RA/HSD11B1/PLVAP/MMP11/GUCY1A1/CFH/CMKLR1/GALNT3/RELN/SPON1/CSF2/NGF/CFB/IKZF1/ADGRL4/EPB41L3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,-0.552713531415687,-1.54713521174266,0.00297019316215428,0.0192891565988508,0.0154313252790806,6619,"tags=40%, list=27%, signal=29%","TMEM140/UBA7/BATF2/PSME1/PARP9/LY6E/IFIH1/PLSCR1/IRF9/IFITM3/B2M/CXCL10/HELZ2/RSAD2/IRF7/OASL/PROCR/LPAR6/DHX58/ISG20/GMPR/STAT2/ISG15/MX1/CSF1/TENT5A/OAS1/IFI44/GBP2/EPSTI1/LGALS3BP/IFI30/CCRL2/BST2/TXNIP/IFITM2/IFITM1/IFI44L/IFI27"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",195,-0.495016433134245,-1.46467744422716,0.00308626505581613,0.0192891565988508,0.0154313252790806,4296,"tags=32%, list=18%, signal=26%","BIN1/CKB/ENO3/KLF5/SCHIP1/CNN3/TAGLN/TPD52L1/SH3BGR/PRNP/IGFBP3/MYOM1/ITGB4/DMD/OCEL1/HSPB8/BDKRB2/CACNG1/APLNR/CTF1/LSP1/MYH1/TNNI1/COX7A1/ACTA1/STC2/MB/PTP4A3/PVALB/ACTC1/SLN/HRC/MEF2C/VIPR1/CAV3/MYBPH/TNNI2/PTGIS/COL6A2/CKM/ITGA7/ACTN3/SOD3/MYL1/CASQ2/SGCA/TNNT3/FABP3/COL15A1/MYOG/NOS1/CDH13/MYL7/PGAM2/MYOZ1/GJA5/CSRP3/CHRNA1/DES/EFS/COL1A1/COL6A3/CHRNG"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",85,-0.569112159280369,-1.57967695066343,0.00515522867988173,0.0276621233988113,0.022129698719049,6004,"tags=47%, list=25%, signal=36%","TGFB1/A2M/TNFRSF21/LTBR/IRF9/IL17RB/IL13RA1/CXCL10/CCR1/PIM1/SOCS3/CXCL13/IL10RB/IL9R/IL9R/LEPR/PIK3R5/SOCS1/CXCL3/STAT2/OSMR/IL2RG/IL3RA/IL3RA/IL1B/CSF1/TNF/DNTT/IL1R2/IL6/EBI3/CNTFR/INHBE/CSF2RB/TLR2/CCL7/PLA2G2A/TNFRSF1B/PF4/CSF2/ITGA4/ACVRL1"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",178,-0.487797686812633,-1.43444573558453,0.00553242467976225,0.0276621233988113,0.022129698719049,3313,"tags=26%, list=14%, signal=23%","KRT15/CACNG1/HNF1A/TGFB2/CD207/BRDT/INSL5/MX1/CPB1/KCNE2/GRID2/ACTC1/KCND1/SMPX/ATP4A/KRT5/CD80/PDE6B/CKM/SERPINA10/P2RX6/CAPN9/NTF3/CNTFR/PLAG1/PDCD1/PNMT/WNT16/GDNF/HTR1B/COL2A1/ARPP21/NOS1/NRIP2/TFF2/BMPR1B/KRT4/SLC38A3/PAX3/MYO15A/ABCB11/IFI44L/KCNMB1/PTGFR/CHRNG/ZBTB16/SERPINB2"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",125,-0.514035354941361,-1.47137423074951,0.00759469797607886,0.0345213544367221,0.0276170835493777,4122,"tags=32%, list=17%, signal=26%","DPP4/LAMP2/HNF4A/VWF/C2/CAPN5/C9/MMP14/PLAU/CSRP1/SERPINA1/GDA/CTSB/THBD/MMP7/THBS1/PROC/C8B/MEP1A/FGG/MMP2/OLR1/TF/F3/TMPRSS6/COMP/PECAM1/PROZ/C3/TIMP3/SERPING1/F10/MMP11/CFH/PF4/MMP3/FN1/CFB/MMP8/SERPINB2"
